day,number of animals,number of grass,avg energy,length of life,avg children
1,15,2,95,0,0
2,18,4,90,0,0
3,21,5,70,0,0
4,26,6,55,0,0
5,34,6,41,0,0
6,43,6,29,0,1
7,51,4,18,0,1
8,54,4,13,2,1
9,47,3,11,2,1
10,30,3,17,3,1
11,22,4,20,3,1
12,21,6,22,4,1
13,20,6,19,4,1
14,18,7,20,4,1
15,17,6,22,4,1
16,13,7,31,4,1
17,12,7,31,4,1
18,11,8,42,4,1
19,10,10,43,4,2
20,10,10,38,4,2
21,11,9,39,4,2
22,11,9,40,4,2
23,7,10,66,4,2
24,6,11,73,4,3
25,5,11,83,5,2
26,4,12,112,5,2
27,5,13,120,5,2
28,6,14,101,5,2
29,7,13,87,5,2
30,9,14,84,5,2
31,12,12,60,5,2
32,14,12,48,5,2
33,15,10,36,5,2
34,17,9,39,5,2
35,20,9,32,5,2
36,20,9,30,5,1
37,20,10,26,5,1
38,17,11,28,5,2
39,15,10,28,5,2
40,15,10,35,5,1
41,16,8,29,5,1
42,15,8,34,5,1
43,11,7,51,5,1
44,11,5,55,5,1
45,12,5,68,5,1
46,12,4,72,5,1
47,14,4,70,5,1
48,19,6,58,5,1
49,25,7,38,5,1
50,29,7,26,5,1
51,32,5,21,5,1
52,29,6,23,6,2
53,28,7,26,6,2
54,31,7,18,6,2
55,31,7,13,6,2
56,25,7,14,6,2
57,22,6,16,6,2
58,24,7,15,6,2
59,21,6,10,6,2
60,13,7,26,6,2
61,14,7,25,6,2
62,14,7,25,6,2
63,16,9,20,6,2
64,12,10,19,6,1
65,10,11,24,6,1
66,7,10,38,6,2
67,7,11,47,6,2
68,5,12,72,6,1
69,5,13,77,6,1
70,5,14,72,6,1
71,6,16,77,6,1
72,7,16,59,6,1
73,7,14,60,6,1
74,7,14,76,6,1
75,7,13,78,6,1
76,8,12,80,6,1
77,10,13,78,6,1
78,12,13,57,6,1
79,15,12,47,6,1
80,19,13,39,6,1
81,19,12,32,6,2
82,22,10,26,6,2
83,26,9,21,6,2
84,27,8,21,6,2
85,29,6,15,6,2
86,28,5,14,6,2
87,22,4,19,6,2
88,18,5,23,6,2
89,18,6,22,6,2
90,15,6,22,6,2
91,12,6,28,6,2
92,11,6,26,6,2
93,10,8,38,6,2
94,11,8,29,6,2
95,13,7,31,6,2
96,14,7,31,6,2
97,14,8,28,6,2
17,8,41,4,1
